record_id,narrative,task_detail,stratum,overhead_task,roof_access,user_interface,inspection,light_manipulation,heavy_force,cleaning,moving_material,indoor_task,outdoor_task,tool_in_hand,vehicle_access,other
2018099623.0,"An employee was climbing a ladder up a scaffold that he was erecting. He was carrying a section of the scaffold in his hand when the section became caught on the scaffold, causing him to lose his balance and fall approximately 8 feet. He suffered a cerebral injury, bruising, internal bleeding, loss of feeling in his legs, and paralysis.",erecting scaffold while carrying scaffold section up ladder,rich_multi_coded,,,,,,X,,X,,,X,,
2018076762.0,"An employee used a 6-foot step ladder to pull a box of sanitizers from a shelf that was approximately 8 feet above the floor. He worked from the 3rd step of the step ladder to place a box on the shelf. He fell from the ladder, hitting his head on equipment and the floor. He suffered contusions, cuts, and lacerations to his forehead and other areas of his head, requiring hospitalization.",pulling a box of sanitizers from a shelf 8 feet above floor,rich_multi_coded,X,,,,,,,X,X,,X,,
2023054762.0,"An employee was climbing a fixed ladder to access a dust collector on a silo. As the injured employee handed paperwork to another employee standing on the platform, the injured employee lost their footing and fell 13.5 feet. They sustained a laceration to the back of the head, compression fractures to T-12, L-1 and possibly L-2 vertebrae as well as left ankle and thigh pain.",accessing dust collector on silo,rich_multi_coded,X,,,,,,,,,X,X,X,
2015063530.0,"An employee was installing solar panels on a residential roof at 33 Wilson Drive Babylon, New York 94402. The employee fell approximately 7 feet to the ground while descending a ladder and injured the right ankle. The employee was hospitalized for treatment.",installing solar panels on residential roof,rich_multi_coded,,X,,,,X,,X,,X,,,
2016032268.0,"On or about March 15, 2016, an employee was climbing a ladder attached to a trailer to disconnect a hose when he fell to the ground, suffering cuts, bruises, and injuries to his head, as well as a concussion. He was hospitalized.",disconnecting a hose from a trailer,rich_multi_coded,,,,,X,,,,,X,X,X,
2024032167.0,"An employee was standing on a ladder next to a motor to obtain a measurement reading from a dial indicator. The employee leaned over the motor and inadvertently leaned onto a overhead crane remote, causing the motor to fall toward the employee. The employee jumped from the ladder to prevent being struck by the motor and fell 10 feet to the concrete floor, resulting in a right rib fracture, a right scapula fracture, and contusions.",obtaining measurement reading from dial indicator on motor,rich_multi_coded,X,,,X,,,,,X,,,,
2023010946.0,"An employee was at the top of a rolling step lock ladder taking a bolt out of a sprocket using a box wrench. When the bolt broke loose, the employee lost his balance and fell backward 4-5 feet onto the floor. He sustained fractures to the clavicle, scapula, and three ribs as well as a laceration to the back of his head.",removing a bolt from a sprocket using a box wrench,rich_multi_coded,X,,,,X,,,,X,,X,,
2025032882.0,"An employee was making repairs to a fire sprinkler system. The piping in the system broke and caused the employee to lose balance and fall from a ladder to the concrete floor below. The employee sustained injuries to the head, face, and neck.",making repairs to fire sprinkler system piping,rich_multi_coded,X,,,,X,,,,X,,,,
2017076862.0,"An employee had just finished unloading a truck. He was descending the truck on a ladder while pulling the trailer door of the truck down when he missed a step and fell. As he fell, he pulled the door down with him and it landed on his left ring finger, breaking it. He was hospitalized and had surgery.",closing/pulling down trailer door while descending truck,rich_multi_coded,,,,,,,,X,,X,,X,
2018077715.0,"An employee was working from an extension ladder, about 16 feet high, to check an air conditioning vent. The ladder slipped and he fell to the ground, breaking ribs and his right arm, suffering kidney and lung contusions, and striking his head.",checking an air conditioning vent,rich_multi_coded,X,,,X,,,,,,X,,,
2016043378.0,"An employee was standing on a ladder and using a manual pole saw to cut a tree limb. The manual pole saw extended about 8 to 10 feet. The saw became caught in the limb, and the employee was trying to free the saw from the limb. When the saw was freed from the limb, it fell, and the blade struck the employee's left arm above the elbow. He suffered a severe arm laceration.",cutting tree limb with manual pole saw,rich_multi_coded,X,,,,,X,,,,X,X,,
20191212409.0,"An employee was trimming flashing around a drip edge with an electric nipper while on an extendable ladder when he lost balance and fell 11 to 12 feet onto a prepped gutter on the ground. He was hospitalized with broken bones to the top of the left foot, requiring surgery.",trimming flashing around drip edge with electric nipper,rich_multi_coded,X,,,,X,,,,,X,X,,
2022065319.0,An employee was descending a ladder after nailing a curtain on a chicken house. The ladder became dislodged and both the ladder and the employee impacted the ground. The employee sustained a fractured and dislocated left shoulder and a fractured left rib.,nailing a curtain on a chicken house,rich_multi_coded,X,,,,,,,,X,,X,,
2022065443.0,"An employee used a 12-foot A-frame ladder to access a roof to conduct observations on how a work crew were going to demolish a window. After completing the observations, she was descending the ladder and lost balance and fell face down, striking her head on the concrete floor. The employee sustained internal head bleeding and bruising to the right side of the body.",observing demolition work crew activity from roof,rich_multi_coded,,X,,X,,,,,,X,,,
2020109935.0,"An employee was cleaning a grain barge. While climbing the ladder from the barge to the dock, the employee lost their footing and fell approximately 10 feet to the ground. The employee suffered a fractured lower right leg near the ankle.",cleaning a grain barge,rich_multi_coded,,,,,,,X,,,X,,X,
2025021614.0,A technician was on a fiberglass ladder running cable through a floor box in a newly constructed building. He contacted a live electrical box in the ceiling and received an electrical shock. The employee fell off the ladder to the floor approximately 4 feet below and sustained a broken wrist and a dislocated shoulder.,running cable through a floor box,rich_multi_coded,X,,,,X,,,,X,,X,,
2022043109.0,The employee was elevated in the basket of an aerial lift trimming tree branches. He came down in the basket of the aerial lift and began stepping down the access ladder on the side of the truck when he slipped and fell four feet to the ground. The employee suffered back pain.,trimming tree branches from aerial lift basket,rich_multi_coded,,,,,,,,,,X,X,X,
